Operateur;2G;3G;4G;city
SFR;1;1;1;noyant
Orange;0;1;1;aigné
Free;0;1;0;alençon
Bouygue;1;1;1;alençon
Bouygue;0;1;0;arçonnay
Free;0;1;1;lançon
Bouygue;1;1;1;lançon
SFR;1;1;1;lançon
Orange;1;1;1;lançon
Orange;1;1;1;garat
Orange;1;1;0;milesse
SFR;1;1;1;garat
Bouygue;1;1;1;garat
Orange;1;1;1;mesnil-mauger
Free;0;1;1;valframbert
Orange;1;1;0;valframbert
Orange;1;1;0;voivres-lès-le-mans
SFR;1;1;0;voivres-lès-le-mans
Free;0;1;1;sainte-dode
Bouygue;1;1;0;lavardac
SFR;0;0;1;lavardac
Free;0;1;1;saint-maur
Bouygue;1;1;1;saint-maur
SFR;1;1;1;saint-maur
SFR;1;1;1;champfleur
Bouygue;1;1;1;champfleur
Bouygue;1;1;1;cambremer
SFR;1;1;1;cambremer
Orange;1;1;1;cambremer
Orange;1;1;0;champfleur
Free;0;1;0;beyrède-jumet
Bouygue;1;1;1;guécélard
Free;0;1;1;guécélard
SFR;1;1;1;guécélard
Orange;1;1;0;guécélard
Orange;1;1;0;saint-maur
Orange;0;1;1;marigny-chemereau
SFR;1;1;1;savigny-en-véron
Bouygue;1;1;1;beaupouyet
SFR;0;0;1;beaupouyet
SFR;1;1;0;tonneins
Orange;0;1;0;tonneins
Bouygue;1;1;1;savigny-en-véron
Free;0;1;1;tonneins
Bouygue;1;1;1;ruelle-sur-touvre
Free;0;1;1;ruelle-sur-touvre
Orange;1;1;1;beaumont-en-véron
SFR;1;1;1;ruelle-sur-touvre
Orange;1;0;0;saint-saviol
Free;0;1;1;saint-saviol
Orange;1;1;1;bourgueil
Free;0;1;1;beaumont-en-véron
Orange;1;1;1;béruges
Bouygue;1;1;1;béruges
SFR;1;1;1;béruges
Bouygue;1;0;0;jemaye
Bouygue;1;1;1;bourgueil
Bouygue;1;1;0;parçay-les-pins
Free;0;1;0;parçay-les-pins
SFR;1;1;0;parçay-les-pins
Orange;1;1;0;parçay-les-pins
Free;0;1;1;bourgueil
SFR;1;1;1;bourgueil
SFR;1;1;0;dissé-sous-le-lude
Bouygue;1;1;0;mansigné
Orange;1;1;0;bazoge
Bouygue;1;1;0;bonnefont
SFR;1;1;0;bonnefont
Bouygue;1;1;1;brie
SFR;1;1;1;brie
Orange;1;1;0;bonnefont
Free;0;1;0;bonnefont
SFR;1;1;0;annebault
Bouygue;1;1;1;fyé
SFR;1;1;1;fyé
Free;0;1;1;vic-fezensac
Bouygue;1;1;0;tonneins
Bouygue;1;1;1;saint-saviol
SFR;1;1;1;saint-saviol
Orange;1;1;1;vivonne
Orange;1;0;0;avoine
Orange;1;1;0;benerville-sur-mer
Orange;0;1;1;marçay
Orange;1;1;1;moustier
Orange;1;1;1;lude
Orange;1;0;0;puymiclan
Free;0;1;1;mirebeau
SFR;1;1;1;mirebeau
Bouygue;1;1;1;lude
Bouygue;1;1;1;mirebeau
Bouygue;1;1;1;piacé
SFR;1;1;1;piacé
Free;0;1;0;taizé-aizie
Bouygue;1;1;1;taizé-aizie
Orange;1;1;1;saint-paterne
SFR;1;1;1;taizé-aizie
Bouygue;1;1;0;trangé
SFR;1;1;1;fillé
Bouygue;1;0;0;trie-sur-baïse
Free;0;1;0;trie-sur-baïse
Bouygue;1;1;0;saint-jean-d'assé
Free;0;1;0;saint-jean-d'assé
Bouygue;1;1;1;beaumont-sur-sarthe
SFR;1;1;1;beaumont-sur-sarthe
Orange;1;1;1;gontaud-de-nogaret
SFR;1;1;0;silly-en-gouffern
Bouygue;1;1;0;vanxains
Orange;0;1;0;vanxains
SFR;1;1;0;vanxains
Free;0;1;0;vanxains
Free;0;1;0;vianne
Bouygue;1;1;1;génos
SFR;1;1;1;génos
Free;0;1;1;lannemezan
Orange;1;1;1;génos
SFR;1;1;1;milesse
SFR;1;1;1;blanzay
Bouygue;1;1;1;blanzay
Free;0;1;1;mans
Orange;1;1;0;mans
Free;0;1;1;milesse
Bouygue;1;1;1;milesse
Orange;1;1;0;beaupouyet
Free;0;1;1;garat
Orange;1;1;1;dignac
Bouygue;1;1;1;chapelle-saint-aubin
SFR;1;1;1;chapelle-saint-aubin
Orange;1;1;1;vianne
Orange;1;1;0;tourgéville
Bouygue;1;1;1;tourgéville
SFR;1;1;1;tourgéville
Orange;1;1;1;deauville
Bouygue;1;1;1;marçay
SFR;1;1;1;marçay
Bouygue;1;1;1;deauville
SFR;1;1;1;deauville
Bouygue;1;0;0;lannemezan
Orange;1;1;0;loubès-bernac
Bouygue;1;1;0;loubès-bernac
Free;0;1;0;loubès-bernac
SFR;1;1;0;loubès-bernac
Free;0;1;1;yvré-le-pôlin
Bouygue;1;0;0;bonnebosq
Free;0;1;0;deauville
Bouygue;1;1;1;saint-martin
Orange;1;1;1;nérac
Free;0;1;1;beaumont-sur-sarthe
Orange;1;1;0;beaumont-sur-sarthe
SFR;1;1;1;saint-martin
Orange;1;1;0;riguepeu
Bouygue;1;1;0;riguepeu
SFR;1;1;0;riguepeu
Free;0;1;0;riguepeu
Bouygue;1;1;1;nicole
Orange;1;0;0;blanzay
SFR;1;1;1;lannemezan
Orange;1;1;0;lannemezan
Free;0;1;1;nicole
SFR;1;1;1;dignac
Bouygue;1;1;1;dignac
Bouygue;1;1;1;brux
SFR;1;1;1;brux
Orange;1;1;1;mirebeau
Free;0;1;0;ceaux-en-couhé
Orange;1;1;1;ilhet
Bouygue;1;1;1;jauldes
SFR;1;1;1;jauldes
SFR;1;1;1;ilhet
Orange;0;1;0;peyrière
Orange;1;1;0;saint-paul-lizonne
Bouygue;1;1;0;saint-paul-lizonne
SFR;1;1;0;saint-paul-lizonne
Free;0;1;0;saint-paul-lizonne
Free;0;1;1;ilhet
SFR;1;1;0;peyrière
Bouygue;1;1;1;ilhet
Free;0;1;1;dignac
SFR;1;1;1;sainte-jamme-sur-sarthe
Bouygue;1;1;0;nérac
Free;0;1;1;nérac
Orange;1;1;0;sainte-jamme-sur-sarthe
Orange;1;1;1;sainte-adresse
Free;0;1;1;sainte-adresse
Bouygue;1;1;0;écorches
SFR;1;1;0;écorches
Free;0;1;0;écorches
Orange;1;1;0;écorches
Free;0;1;1;aiguillon
Orange;1;1;0;saint-jean-de-duras
Bouygue;1;1;0;soumensac
Free;0;1;0;soumensac
SFR;1;1;0;soumensac
Orange;1;1;1;rouillon
Free;0;1;1;quinçay
Bouygue;1;1;1;quinçay
Orange;1;1;1;quinçay
SFR;1;1;1;quinçay
SFR;1;1;1;bazoge
Bouygue;1;1;1;bazoge
Orange;0;1;0;ardengost
Free;0;1;0;ardengost
SFR;1;1;1;aiguillon
SFR;1;1;0;ardengost
Orange;1;1;1;aiguillon
Bouygue;1;1;1;aiguillon
Free;0;1;0;trouville-sur-mer
Free;0;1;1;allemans
Bouygue;1;1;1;trouville-sur-mer
SFR;1;1;1;trouville-sur-mer
Orange;1;0;0;vaux
Orange;1;0;0;ceaux-en-couhé
SFR;1;1;1;ceaux-en-couhé
Bouygue;1;1;1;ceaux-en-couhé
Free;0;1;1;puysserampion
Bouygue;1;0;0;puysserampion
Orange;1;1;1;trouville-sur-mer
Bouygue;1;1;1;vaux
SFR;1;1;1;vaux
Bouygue;1;1;1;houblonnière
SFR;1;1;1;houblonnière
Orange;1;1;1;houblonnière
Orange;1;1;1;beaumont-en-auge
Bouygue;1;1;0;yvré-le-pôlin
SFR;1;1;1;maresché
Orange;1;1;0;maresché
SFR;1;1;0;yvré-le-pôlin
Orange;1;1;0;yvré-le-pôlin
Orange;1;1;1;puydarrieux
Bouygue;1;0;1;beaumont-en-auge
Orange;0;1;1;fontaine-le-comte
Orange;1;1;0;benais
Free;0;1;1;rouillon
SFR;1;1;1;rouillon
Orange;1;1;1;escala
SFR;1;1;0;pontvallain
Bouygue;1;0;0;pontvallain
Free;0;1;1;pontvallain
Orange;1;1;1;pontvallain
Bouygue;1;1;0;monts-sur-guesnes
SFR;1;1;0;monts-sur-guesnes
Free;0;1;0;monts-sur-guesnes
Orange;1;1;0;monts-sur-guesnes
SFR;1;1;0;bonnebosq
Bouygue;1;1;0;livarot-pays-d'auge
Free;0;1;0;livarot-pays-d'auge
SFR;1;1;0;livarot-pays-d'auge
Orange;1;1;0;livarot-pays-d'auge
Bouygue;1;1;1;spay
Orange;1;1;0;spay
SFR;1;1;0;spay
Bouygue;1;1;1;mans
SFR;1;1;1;écouves
Bouygue;1;1;1;sainte-adresse
SFR;1;1;1;sainte-adresse
Orange;1;1;0;écouves
Bouygue;1;1;1;écouves
Bouygue;1;1;1;anché
SFR;1;1;1;anché
Orange;1;1;1;touques
Orange;1;1;1;cissé
Free;0;1;1;cissé
Bouygue;1;1;1;mirande
SFR;0;0;1;mirande
Bouygue;1;1;1;vivonne
SFR;1;1;1;vivonne
SFR;1;1;1;mans
SFR;1;1;0;cazaux-fréchet-anéran-camors
Orange;1;1;0;cazaux-fréchet-anéran-camors
Bouygue;1;1;0;cazaux-fréchet-anéran-camors
Orange;1;1;1;condom
Bouygue;1;1;1;condom
SFR;1;1;1;condom
Bouygue;1;1;1;touques
SFR;1;1;1;touques
SFR;1;1;1;ligugé
Orange;1;1;0;ligugé
Bouygue;1;1;1;ligugé
Free;0;1;1;spay
Orange;1;1;1;mornac
Bouygue;1;1;0;mornac
Bouygue;1;1;1;cissé
Free;0;1;0;vivonne
SFR;1;1;0;mornac
SFR;1;1;1;cissé
Bouygue;1;1;1;voulon
Orange;1;0;0;voulon
SFR;1;1;1;voulon
Bouygue;1;1;1;havre
Free;0;1;1;havre
Orange;1;1;1;havre
Free;0;1;1;chapelle-saint-aubin
Bouygue;1;1;1;saint-médard-de-mussidan
SFR;1;1;1;saint-médard-de-mussidan
Orange;1;1;1;clairac
SFR;1;1;0;clairac
Orange;1;1;1;miramont-de-guyenne
Orange;1;1;1;moncrabeau
Orange;1;1;1;chapelle-saint-aubin
SFR;1;1;1;havre
Free;0;1;1;beaumont-en-auge
SFR;1;1;0;beaumont-en-auge
Orange;1;1;1;arnage
Bouygue;1;1;1;moncé-en-belin
Orange;1;1;0;moncé-en-belin
Orange;1;1;0;rouessé-fontaine
SFR;1;1;1;moncé-en-belin
Bouygue;1;1;1;arnage
Bouygue;1;1;0;maresché
SFR;1;1;0;uglas
Orange;1;1;0;vouneuil-sous-biard
Bouygue;1;1;1;pin-au-haras
SFR;1;1;1;pin-au-haras
Orange;1;1;1;coulongé
SFR;0;1;0;arnage
Orange;1;1;1;pin-au-haras
Bouygue;1;1;0;miramont-de-guyenne
SFR;0;0;1;miramont-de-guyenne
Orange;1;1;1;valence-sur-baïse
Bouygue;1;1;1;valence-sur-baïse
SFR;1;1;1;valence-sur-baïse
Free;0;1;1;arnage
Bouygue;1;1;1;chinon
Free;0;1;1;chinon
SFR;1;1;1;chinon
Orange;1;1;0;chinon
Bouygue;1;1;1;saint-étienne-de-puycorbier
SFR;0;0;1;saint-étienne-de-puycorbier
Orange;1;1;1;neuville-de-poitou
SFR;1;1;1;neuville-de-poitou
Bouygue;1;1;1;neuville-de-poitou
Free;0;1;1;neuville-de-poitou
Free;0;1;1;condom
Free;0;1;1;mornac
Bouygue;1;1;1;saint-martial-viveyrol
Free;0;1;1;saint-martial-viveyrol
Bouygue;1;1;1;fontaine-le-comte
SFR;1;1;1;fontaine-le-comte
Orange;1;1;1;saint-pierre-d'exideuil
Bouygue;1;1;0;pré-d'auge
Free;0;1;1;pré-d'auge
Orange;0;1;0;saint-andré-de-double
Orange;1;1;1;germ
Bouygue;1;1;0;saint-andré-de-double
Free;0;1;0;saint-andré-de-double
SFR;1;1;0;saint-andré-de-double
SFR;1;1;0;ribérac
Free;0;1;1;ribérac
SFR;1;1;0;pré-d'auge
Bouygue;1;1;1;clairac
Orange;1;1;0;ribérac
Free;0;1;1;clairac
Free;0;1;1;recurt
Free;0;1;1;touques
Orange;1;1;1;château-larcher
Free;0;1;0;château-larcher
SFR;1;1;1;gardonne
Free;0;1;1;gardonne
Bouygue;1;1;1;gardonne
Bouygue;1;1;1;biran
SFR;1;1;1;biran
Bouygue;1;1;1;sées
SFR;1;1;1;sées
Free;0;1;1;sées
Free;0;1;1;miramont-de-guyenne
Bouygue;1;1;1;civray
SFR;1;1;1;civray
Bouygue;1;1;0;montbizot
Free;0;1;0;montbizot
SFR;1;1;0;saint-pardoux-isaac
SFR;1;1;1;coulaines
Bouygue;1;1;0;continvoir
SFR;1;1;0;continvoir
Free;0;1;0;continvoir
Orange;1;1;0;continvoir
Free;0;1;1;saint-pavace
Orange;1;1;1;coulaines
Orange;1;1;0;saint-amant-de-bonnieure
Bouygue;1;1;0;saint-amant-de-bonnieure
SFR;1;1;0;saint-amant-de-bonnieure
Free;0;1;0;saint-amant-de-bonnieure
SFR;1;1;0;saint-front-de-pradoux
SFR;1;1;1;villerville
Bouygue;1;1;1;villerville
Free;0;1;1;villerville
Orange;1;1;0;villerville
Free;0;1;1;fontaine-le-comte
Orange;0;1;1;octeville-sur-mer
Bouygue;1;0;0;mussidan
Orange;1;1;0;saint-barthélemy-d'agenais
Bouygue;1;1;0;saint-barthélemy-d'agenais
SFR;1;1;0;saint-barthélemy-d'agenais
Free;0;1;0;saint-barthélemy-d'agenais
Orange;1;1;0;lizant
SFR;1;1;0;lizant
Free;0;1;0;lizant
Bouygue;1;1;1;biard
SFR;1;1;1;biard
Bouygue;1;1;1;nanteuil-en-vallée
SFR;1;1;1;nanteuil-en-vallée
Bouygue;1;1;1;octeville-sur-mer
Free;0;1;1;octeville-sur-mer
SFR;1;1;1;octeville-sur-mer
Orange;1;1;1;cauville-sur-mer
Bouygue;1;0;0;calignac
Bouygue;1;1;1;bouëx
SFR;1;1;1;bouëx
Bouygue;1;1;0;port-sainte-marie
Orange;1;1;1;sées
Orange;1;1;1;édon
SFR;1;1;1;port-sainte-marie
Bouygue;1;1;1;édon
SFR;1;1;1;édon
Bouygue;1;1;0;ayguetinte
Orange;1;1;1;ayguetinte
SFR;1;1;0;restigné
Orange;1;1;0;biard
Bouygue;1;1;1;vouneuil-sous-biard
SFR;1;1;1;vouneuil-sous-biard
Orange;1;1;1;bruch
SFR;1;1;1;saint-projet-saint-constant
Orange;1;1;1;saint-projet-saint-constant
Bouygue;1;1;1;saint-projet-saint-constant
Orange;1;1;1;reux
Bouygue;1;0;0;reux
Orange;1;1;0;saint-martin-aux-chartrains
Orange;1;1;1;mirande
Free;0;1;0;cantaous
Orange;1;1;0;ligré
Bouygue;1;1;0;ribérac
Orange;1;1;0;thénac
Bouygue;1;1;0;thénac
SFR;1;1;0;thénac
Free;0;1;0;thénac
Bouygue;1;1;1;coulaines
SFR;1;1;1;guierche
Orange;1;1;1;tajan
Bouygue;1;1;1;barran
SFR;1;1;0;barran
Bouygue;1;1;1;fontaine-la-mallet
SFR;1;1;1;fontaine-la-mallet
Free;0;1;1;fontaine-la-mallet
Bouygue;1;1;1;monlong
SFR;1;1;1;monlong
Bouygue;1;1;1;force
SFR;1;1;1;force
Orange;1;1;1;force
Free;0;1;1;force
SFR;1;1;0;reux
Orange;0;1;1;joué-l'abbé
Orange;1;1;1;gouaux-de-larboust
SFR;1;1;1;cherval
Orange;1;1;0;mulsanne
Bouygue;1;1;1;huismes
SFR;1;1;1;huismes
Free;0;1;1;mussidan
SFR;0;0;1;mussidan
Orange;1;1;0;huismes
Free;0;1;1;huismes
Orange;1;1;1;champagné-saint-hilaire
Orange;1;1;0;saint-gourson
Bouygue;1;1;0;saint-gourson
Free;0;1;0;saint-gourson
SFR;1;1;0;saint-gourson
Orange;1;1;1;cherval
Orange;1;1;0;biran
SFR;1;1;1;mulsanne
Bouygue;1;1;1;gouaux-de-larboust
SFR;1;1;0;gouaux-de-larboust
Bouygue;1;1;0;chailloué
SFR;1;1;1;poitiers
Bouygue;1;1;1;poitiers
Free;0;1;1;poitiers
Orange;1;1;1;vimoutiers
Bouygue;1;0;0;lèches
Orange;1;1;0;lèches
Free;0;1;1;eymet
Free;0;1;0;avanton
Orange;1;1;0;avanton
Bouygue;1;1;0;eymet
Orange;1;1;0;nistos
Free;0;1;0;nistos
Bouygue;1;1;1;exmes
SFR;1;1;1;exmes
Bouygue;1;1;0;ingrandes-de-touraine
Bouygue;1;1;0;nistos
SFR;1;1;0;nistos
Bouygue;1;1;1;channay-sur-lathan
Free;0;1;0;channay-sur-lathan
SFR;0;0;1;channay-sur-lathan
Free;0;1;1;mulsanne
Bouygue;1;1;1;mulsanne
Orange;1;1;0;aslonnes
Orange;1;0;0;francescas
Free;0;1;1;saint-projet-saint-constant
Bouygue;1;1;1;iteuil
SFR;1;1;1;iteuil
Orange;1;1;1;poitiers
SFR;1;1;0;sourzac
Orange;1;1;1;sourzac
Bouygue;1;1;1;hauterive
SFR;1;1;1;hauterive
Bouygue;1;1;1;migné-auxances
Bouygue;1;1;1;vimoutiers
SFR;1;1;1;vimoutiers
SFR;1;1;1;migné-auxances
Orange;1;1;0;hauterive
Bouygue;1;1;1;braye-sur-maulne
SFR;1;1;1;braye-sur-maulne
Orange;0;1;0;saint-martin-de-ribérac
Bouygue;1;1;0;saint-martin-de-ribérac
SFR;1;1;0;saint-martin-de-ribérac
Free;0;1;0;saint-martin-de-ribérac
Orange;0;1;0;portet-de-luchon
SFR;1;1;0;portet-de-luchon
Free;0;1;0;portet-de-luchon
Orange;1;1;1;prigonrieux
Bouygue;1;1;1;chazelles
SFR;1;1;1;chazelles
Free;0;1;1;saint-germain-de-livet
SFR;1;1;1;laigné-en-belin
Bouygue;1;1;1;jegun
SFR;1;1;1;jegun
Bouygue;1;1;1;coquainvilliers
SFR;1;1;1;coquainvilliers
Bouygue;1;1;1;jaunay-clan
SFR;1;1;1;jaunay-clan
Bouygue;1;0;0;aubigné-racan
Orange;1;1;1;aubigné-racan
Bouygue;1;1;1;saint-louis-en-l'isle
SFR;0;0;1;saint-louis-en-l'isle
SFR;1;1;0;aubigné-racan
Orange;1;1;0;saint-louis-en-l'isle
Free;0;1;1;saint-louis-en-l'isle
SFR;1;1;0;chailloué
Orange;1;1;0;chailloué
SFR;1;1;1;lèches
SFR;1;0;0;ordan-larroque
Orange;0;0;0;saint-jouin-bruneval
SFR;1;1;1;saint-jouin-bruneval
Bouygue;1;1;1;saint-jouin-bruneval
SFR;1;1;1;heuqueville
Free;0;1;1;sargé-lès-le-mans
SFR;1;1;1;sargé-lès-le-mans
Bouygue;1;1;1;sargé-lès-le-mans
Free;0;1;1;migné-auxances
Orange;1;1;1;migné-auxances
Bouygue;1;1;1;heuqueville
Orange;1;1;0;saint-désir
Bouygue;1;1;1;vendeuvre-du-poitou
Bouygue;1;1;1;pranzac
SFR;1;1;1;pranzac
SFR;1;1;1;vendeuvre-du-poitou
Orange;1;1;1;pranzac
Orange;1;1;0;vendeuvre-du-poitou
Free;0;1;1;vendeuvre-du-poitou
Bouygue;1;1;1;saint-laurent-de-neste
SFR;1;1;1;saint-laurent-de-neste
Orange;1;1;0;saint-laurent-de-neste
Orange;1;1;1;eymet
SFR;1;1;1;eymet
Orange;1;0;0;iteuil
SFR;1;1;0;ballon-saint mars
Bouygue;1;1;0;ballon-saint mars
Free;0;1;1;montivilliers
SFR;1;1;1;montivilliers
Orange;1;1;1;montivilliers
Orange;1;1;0;ballon-saint mars
Orange;1;1;0;vouzan
Bouygue;1;1;0;vouzan
SFR;1;1;0;vouzan
Free;0;1;0;vouzan
Orange;1;1;0;sargé-lès-le-mans
SFR;1;1;0;saint-benoît
Free;0;1;1;saint-benoît
Bouygue;1;1;1;sommières-du-clain
SFR;1;1;1;sommières-du-clain
Bouygue;1;1;0;avrillé-les-ponceaux
SFR;1;1;0;avrillé-les-ponceaux
Free;0;1;0;avrillé-les-ponceaux
Orange;1;1;0;avrillé-les-ponceaux
Bouygue;1;1;0;survie
Orange;1;1;0;survie
Free;0;1;0;survie
SFR;1;1;0;survie
Orange;1;1;1;lencloître
Free;0;1;1;vimoutiers
Bouygue;1;1;1;lencloître
SFR;1;1;1;lencloître
Orange;1;1;1;vieux-ruffec
Orange;1;1;1;saint-gatien-des-bois
Bouygue;1;1;1;montivilliers
Orange;0;1;0;saint-benoît
Bouygue;1;1;0;essards
SFR;1;0;0;essards
Free;0;1;0;essards
Orange;1;1;0;essards
Bouygue;1;1;1;marnay
SFR;1;1;1;marnay
SFR;1;1;0;yvré-l'évêque
Orange;1;1;0;neufchâtel-en-saosnois
Bouygue;1;1;1;saint-benoît
Orange;1;1;1;yvré-l'évêque
Bouygue;1;1;1;neufchâtel-en-saosnois
SFR;1;1;1;neufchâtel-en-saosnois
Free;0;1;0;neuville-sur-sarthe
Bouygue;1;1;1;neuville-sur-sarthe
Orange;1;1;0;teloché
Orange;1;1;1;saint-vincent-de-connezac
Bouygue;1;0;0;rochebeaucourt-et-argentine
SFR;1;1;1;montesquieu
Orange;1;1;0;boudrac
SFR;0;1;0;boudrac
Free;0;1;0;boudrac
Orange;1;1;0;mayet
Bouygue;1;1;1;montesquieu
Bouygue;1;1;0;nonant-le-pin
SFR;1;1;0;garin
Orange;0;1;0;garin
Bouygue;1;1;1;sigoulès
SFR;1;1;1;sigoulès
SFR;1;1;0;richelieu
Orange;1;1;1;richelieu
Orange;1;1;1;écommoy
Orange;1;1;0;cellefrouin
Bouygue;1;1;0;cellefrouin
SFR;1;1;0;cellefrouin
Free;0;1;0;cellefrouin
Orange;1;1;1;pont-l'évêque
Bouygue;1;1;0;pont-l'évêque
SFR;1;1;0;pont-l'évêque
SFR;1;1;0;saint-julien-d'eymet
Bouygue;1;1;1;smarves
Orange;1;1;1;smarves
SFR;1;1;1;smarves
Free;0;1;1;lisieux
SFR;1;1;1;larroque
Free;0;1;1;harfleur
Bouygue;1;1;1;larroque
Orange;0;1;0;cirès
Free;0;1;0;cirès
SFR;1;1;0;cirès
SFR;1;1;1;saint-martin-de-la-lieue
Bouygue;1;1;1;saint-martin-de-la-lieue
Orange;0;1;1;buxerolles
Orange;0;0;1;harfleur
SFR;1;1;1;harfleur
Free;0;1;1;richelieu
Bouygue;1;1;0;richelieu
Bouygue;1;1;0;saint-michel-sur-loire
SFR;1;1;0;saint-michel-sur-loire
Free;0;1;0;saint-michel-sur-loire
Orange;1;1;0;saint-michel-sur-loire
Orange;1;1;0;surin
SFR;1;1;0;surin
Free;0;1;0;surin
Orange;0;1;1;savigné-l'évêque
Bouygue;1;1;1;saint-laurent-des-vignes
SFR;1;1;1;saint-laurent-des-vignes
Free;0;1;1;saint-laurent-des-vignes
Bouygue;1;1;1;rivières
SFR;1;1;1;rivières
Bouygue;1;1;1;castelnau-magnoac
SFR;1;1;1;castelnau-magnoac
Free;0;1;0;castelnau-magnoac
Orange;1;1;0;labéjan
Bouygue;1;1;0;labéjan
Free;0;1;0;labéjan
SFR;0;1;0;labéjan
Bouygue;1;1;1;rochefoucauld
SFR;1;1;1;rochefoucauld
Bouygue;1;1;1;lisieux
SFR;1;1;1;lisieux
Orange;1;1;1;lisieux
Orange;0;1;1;chasseneuil-du-poitou
Bouygue;1;1;1;ruaudin
SFR;1;1;1;ruaudin
Orange;1;1;0;ruaudin
Orange;0;1;0;saint-romain
SFR;1;1;0;saint-romain
Free;0;1;0;saint-romain
Orange;1;1;1;castelnau-magnoac
Orange;1;1;1;rochefoucauld
Orange;1;0;0;nomdieu
Orange;1;0;0;laveyssière
Bouygue;1;1;1;lémeré
SFR;1;1;1;lémeré
Free;0;1;0;buxerolles
Bouygue;1;1;1;buxerolles
SFR;1;1;1;buxerolles
Orange;0;0;0;gonfreville-l'orcher
Orange;0;1;0;rochebeaucourt-et-argentine
SFR;1;1;0;rochebeaucourt-et-argentine
Free;0;1;0;rochebeaucourt-et-argentine
Bouygue;1;1;1;écommoy
Free;0;1;1;écommoy
Free;0;1;1;savigné-l'évêque
Bouygue;1;1;1;saint-benoît-la-forêt
Free;0;1;1;saint-benoît-la-forêt
SFR;1;1;1;saint-benoît-la-forêt
SFR;1;1;1;gonfreville-l'orcher
SFR;1;0;0;écommoy
SFR;1;1;0;savigné-l'évêque
Bouygue;1;1;0;orches
Orange;1;1;0;orches
SFR;1;1;0;orches
Free;0;1;0;orches
Orange;1;1;0;savigné-sur-lathan
Bouygue;0;1;0;chasseneuil-du-poitou
Free;0;1;1;rochefoucauld
Orange;1;1;1;roches-prémarie-andillé
Bouygue;1;1;1;roches-prémarie-andillé
SFR;1;1;1;roches-prémarie-andillé
Bouygue;1;0;0;bergerac
SFR;1;1;1;charroux
Orange;1;1;1;charroux
Bouygue;1;1;1;charroux
Orange;1;1;1;jaunay-clan
Bouygue;1;1;1;villeneuve-en-perseigne
SFR;1;1;1;villeneuve-en-perseigne
Orange;1;0;0;saint-benoît-la-forêt
Orange;1;0;1;grassac
Orange;1;1;0;norolles
Bouygue;1;1;0;brette-les-pins
Free;0;1;1;chasseneuil-du-poitou
Orange;0;1;0;charras
Bouygue;1;1;0;charras
Free;0;1;0;charras
SFR;1;1;0;charras
Bouygue;1;1;0;romieu
Free;0;1;1;romieu
Bouygue;1;1;1;yvré-l'évêque
Free;0;1;1;yvré-l'évêque
Orange;1;1;1;bergerac
SFR;1;1;1;ginestet
Bouygue;1;1;1;ginestet
Free;0;1;0;ginestet
SFR;1;1;1;chasseneuil-du-poitou
Bouygue;1;1;1;champagne-mouton
SFR;1;1;1;champagne-mouton
Orange;1;1;1;résenlieu
Bouygue;1;1;1;savigné-sur-lathan
Free;0;1;0;savigné-sur-lathan
SFR;1;1;1;savigné-sur-lathan
Free;0;1;1;gonfreville-l'orcher
Orange;1;1;0;notre-dame-du-bec
Bouygue;1;1;1;ligardes
SFR;1;1;1;ligardes
Orange;1;1;1;château-la-vallière
SFR;1;1;1;notre-dame-du-bec
Orange;0;1;0;ferrère
SFR;1;1;0;ferrère
Free;0;1;0;ferrère
Orange;1;1;0;cuguron
Bouygue;1;1;1;cuguron
Orange;1;1;0;chenu
SFR;1;1;1;cuguron
Orange;1;1;1;lauzun
Free;0;1;1;étretat
SFR;1;1;1;étretat
Bouygue;1;1;1;étretat
Orange;1;0;0;saint-lary
Orange;1;1;1;étretat
Bouygue;1;1;1;saint-lary
SFR;1;1;1;saint-lary
Bouygue;1;1;1;gonfreville-l'orcher
Orange;1;1;0;honfleur
Bouygue;1;1;0;honfleur
Orange;1;0;0;ménil-froger
Orange;1;1;1;brugnac
SFR;1;1;0;pontchardon
Bouygue;1;1;0;pontchardon
Free;0;1;0;pontchardon
Orange;1;1;0;pontchardon
SFR;1;1;1;château-la-vallière
Free;0;1;1;château-la-vallière
Bouygue;1;1;1;château-la-vallière
SFR;1;1;1;honfleur
Free;0;1;1;honfleur
SFR;1;1;1;épouville
Orange;1;1;0;beuvillers
Bouygue;1;0;0;mayet
Free;0;1;1;mayet
SFR;1;1;0;mayet
Bouygue;1;1;1;épouville
Orange;1;1;1;épouville
Orange;1;1;0;samaran
Bouygue;1;1;0;samaran
SFR;1;1;0;samaran
Free;0;1;0;samaran
Free;0;1;1;mignaloux-beauvoir
Orange;1;1;1;mignaloux-beauvoir
SFR;1;1;1;gonneville-sur-honfleur
Orange;1;1;0;gonneville-sur-honfleur
Orange;1;1;1;moncaut
Bouygue;1;1;1;gonneville-sur-honfleur
Orange;1;1;0;saint-martin-du-manoir
Orange;1;1;0;rocques
Orange;0;1;1;rogerville
Orange;1;1;1;lusignan-petit
Bouygue;1;1;0;saint-mars-d'outillé
Free;0;1;1;saint-mars-d'outillé
Free;0;1;1;sauvetat
Bouygue;1;1;1;sainte-colombe-en-bruilhois
SFR;1;1;1;sainte-colombe-en-bruilhois
Free;0;1;1;brette-les-pins
Orange;1;1;0;brette-les-pins
Free;0;1;1;montréjeau
Orange;1;1;0;issac
SFR;1;1;0;issac
Free;0;1;0;issac
