Operateur;2G;3G;4G;city
Free;0;1;1;loctudy
SFR;1;1;1;pluguffan
Orange;1;1;0;pluguffan
Bouygue;1;1;1;pluguffan
Free;0;1;1;pluguffan
SFR;1;1;1;plouédern
Orange;1;0;0;plouédern
Bouygue;1;1;1;plouédern
Free;0;1;0;plouédern
SFR;1;1;1;combrit
Orange;1;1;1;combrit
Free;0;1;1;combrit
Bouygue;1;1;1;combrit
Bouygue;1;0;0;hôpital-camfrout
SFR;1;1;1;hôpital-camfrout
Bouygue;1;1;1;plogonnec
Free;0;1;1;plogonnec
SFR;1;0;0;pencran
Orange;1;1;0;plogonnec
Orange;1;1;0;hanvec
Orange;1;1;0;plomelin
Bouygue;1;1;0;hanvec
Free;0;1;1;hanvec
Bouygue;1;1;1;plomelin
Free;0;1;1;plomelin
SFR;1;1;1;plomelin
Free;0;1;0;plounévez-lochrist
Orange;1;1;1;plounévez-lochrist
Bouygue;1;1;1;quimper
SFR;1;1;1;quimper
Free;0;1;0;quimper
Orange;1;1;1;quimper
Bouygue;1;1;0;dinéault
SFR;1;1;1;bénodet
Bouygue;1;1;1;bénodet
Orange;1;1;1;bénodet
Orange;0;1;0;dinéault
Bouygue;1;1;1;quéménéven
SFR;1;1;1;quéménéven
Free;0;1;1;quéménéven
Bouygue;1;1;1;rosnoën
SFR;1;1;1;rosnoën
Orange;1;1;0;rosnoën
Free;0;1;1;pont-de-buis-lès-quimerch
Bouygue;1;1;1;plounévez-lochrist
SFR;1;1;1;plounévez-lochrist
Orange;1;0;0;plounéventer
Orange;1;1;0;saint-derrien
Bouygue;1;1;0;saint-derrien
SFR;1;1;0;saint-derrien
Free;0;1;0;saint-derrien
Free;0;1;1;dinéault
Bouygue;1;1;1;plouescat
Orange;1;1;1;plouescat
SFR;1;1;1;dinéault
Free;0;1;1;plouescat
SFR;1;1;1;gouesnach
Free;0;1;1;gouesnach
Bouygue;1;1;1;gouesnach
SFR;1;0;0;bodilis
Orange;1;1;0;pont-de-buis-lès-quimerch
Bouygue;1;1;1;pont-de-buis-lès-quimerch
SFR;1;1;1;pont-de-buis-lès-quimerch
Orange;0;0;1;saint-servais
Bouygue;1;1;1;pleuven
SFR;1;1;1;pleuven
Orange;1;1;0;pleuven
Orange;1;1;0;saint-ségal
SFR;1;1;1;plouescat
Orange;1;1;1;châteaulin
Bouygue;1;1;0;bodilis
Free;0;1;0;bodilis
Orange;0;1;0;bodilis
Orange;1;1;0;cast
Bouygue;1;1;1;saint-vougay
SFR;1;1;1;saint-vougay
Orange;1;1;0;ergué-gabéric
Bouygue;1;1;1;ergué-gabéric
Free;0;1;1;ergué-gabéric
SFR;1;1;1;ergué-gabéric
Orange;1;1;1;ploudiry
Bouygue;1;1;1;châteaulin
SFR;1;1;1;châteaulin
Bouygue;1;1;1;fouesnant
Free;0;1;1;fouesnant
SFR;1;1;1;fouesnant
Bouygue;1;1;1;plouzévédé
SFR;1;1;1;plouzévédé
Free;0;1;1;plouzévédé
Free;0;1;1;châteaulin
Orange;1;1;1;fouesnant
Bouygue;1;1;0;sizun
Free;0;1;1;sizun
SFR;1;1;1;saint-évarzec
Orange;1;1;0;saint-évarzec
Bouygue;1;1;1;saint-évarzec
Orange;1;1;0;briec
Free;0;1;1;briec
Bouygue;1;0;0;landivisiau
Orange;1;1;1;cléder
Free;0;1;1;cléder
SFR;1;1;1;cléder
Bouygue;1;1;1;cléder
SFR;1;1;1;landivisiau
Orange;0;1;0;landivisiau
Bouygue;1;1;1;briec
SFR;1;1;1;briec
SFR;1;1;1;sizun
Free;0;1;1;saint-évarzec
SFR;1;1;1;forêt-fouesnant
Bouygue;1;1;1;forêt-fouesnant
Orange;1;1;0;lampaul-guimiliau
SFR;1;1;1;lampaul-guimiliau
Bouygue;1;1;1;lampaul-guimiliau
Orange;1;1;0;forêt-fouesnant
Bouygue;1;1;1;sibiril
SFR;1;1;1;sibiril
Bouygue;1;1;1;plougourvest
SFR;1;1;1;plougourvest
Free;0;1;1;landivisiau
SFR;1;1;1;plouvorn
Bouygue;1;1;1;plouvorn
Orange;1;1;1;plouvorn
Orange;1;1;1;edern
Bouygue;1;1;0;saint-rivoal
SFR;1;1;0;saint-rivoal
Free;0;1;0;saint-rivoal
Orange;1;1;0;saint-rivoal
Orange;1;1;0;saint-yvi
Bouygue;1;1;1;saint-yvi
Free;0;1;1;saint-yvi
SFR;1;1;1;saint-yvi
Orange;1;1;0;concarneau
SFR;1;1;1;concarneau
Bouygue;1;1;1;concarneau
Free;0;1;1;concarneau
SFR;1;1;1;plouénan
